type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11414724,0,84,0,0,11.939034,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 6 -15 6 -16 5 -17 4 -17 5 -16 3 -16 3 -16 3 -16 3 -16 2 -17 1 -17 2 -16 1 -17 1 -16 0 -17 1 -16 1 -16 1 -15 1 -16 1 -15 1 -15 1 -15 1 -15 1 -16 1 -15 1 0 0 -15 2 -15 2 -14 3 -15 3 -14 3 -15 3 -15 3 -14 4 -14 4 -13 5 -14 5 -14 5 -14 5 -13 6 -15 6 -14 6 -15 7 -13 7 -14 7 -13 7 -14 8 -14 7 -15 8 -14 8 -15 8 -14 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11415149,0,84,0,0,11.979316,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 -10 -11 -10 -11 -11 -11 -12 -10 -12 -9 -12 -10 -12 -9 -12 -9 -13 -9 -13 -8 -14 -8 -14 -7 -14 -7 -14 -7 -14 -7 -14 -6 -13 -6 -13 -6 -13 -7 -13 -6 -13 -6 -13 -5 -12 -6 -13 -6 -14 -6 -12 0 0 -6 -12 -7 -12 -7 -12 -7 -12 -6 -12 -8 -12 -8 -12 -8 -11 -8 -11 -8 -10 -8 -11 -8 -11 -8 -11 -9 -11 -9 -11 -9 -11 -10 -11 -10 -10 -10 -10 -10 -10 -10 -11 -11 -11 -11 -11 -11 -11 -10 -12 -10 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11415430,0,84,0,0,12.25492,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 14 7 13 7 15 6 15 6 16 5 14 5 14 5 15 4 15 3 16 3 16 2 16 2 16 2 16 2 16 2 16 1 14 1 14 1 14 1 15 1 15 2 15 1 14 1 14 1 15 2 13 0 0 2 14 3 14 3 14 4 13 2 13 4 13 4 14 4 13 5 13 4 13 5 13 5 13 5 13 6 13 5 13 6 13 7 14 7 12 7 13 7 12 7 13 7 14 8 14 8 14 7 15 7 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-60,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11742480,0,84,0,0,12.66616,384,[84 -64 4 0 0 0 0 0 0 0 0 0 4 -18 5 -18 6 -18 9 -20 8 -19 8 -17 7 -17 7 -17 8 -16 8 -16 10 -16 10 -16 9 -16 10 -15 10 -15 10 -16 10 -14 10 -14 9 -14 9 -15 9 -15 9 -14 9 -13 9 -14 9 -15 8 -14 0 0 8 -14 8 -14 7 -15 6 -14 7 -14 7 -15 6 -15 5 -15 6 -15 5 -15 5 -15 5 -15 5 -16 4 -16 5 -16 3 -16 4 -18 3 -16 3 -17 2 -16 2 -17 3 -18 3 -18 2 -18 4 -18 2 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-60,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11742779,0,84,0,0,12.102023,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 -8 17 -8 17 -8 18 -7 17 -6 17 -5 17 -6 17 -5 18 -4 18 -4 19 -4 18 -4 17 -3 18 -2 17 -2 18 -2 17 -2 17 -2 16 -2 16 -2 16 -2 16 -1 16 -2 16 -2 16 -2 16 -3 0 0 16 -3 16 -3 15 -3 15 -4 14 -4 15 -4 16 -5 15 -6 15 -5 14 -6 14 -6 14 -6 15 -6 14 -7 15 -6 15 -8 15 -7 14 -8 14 -8 13 -9 14 -9 15 -9 15 -10 14 -9 16 -9 15 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-60,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11743096,0,84,0,0,12.142341,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 -12 -9 -12 -10 -13 -9 -14 -9 -14 -7 -13 -8 -13 -8 -13 -7 -14 -6 -15 -6 -15 -6 -15 -5 -15 -5 -15 -5 -14 -5 -15 -5 -14 -5 -14 -4 -13 -5 -14 -5 -14 -5 -14 -4 -13 -4 -13 -4 -14 -5 -13 0 0 -5 -13 -6 -13 -6 -12 -6 -12 -5 -12 -6 -12 -6 -12 -7 -12 -7 -12 -7 -11 -7 -11 -7 -12 -7 -12 -8 -11 -8 -12 -8 -11 -9 -12 -9 -10 -9 -10 -9 -10 -10 -11 -9 -11 -10 -12 -10 -11 -9 -12 -10 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-85,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11743620,0,84,0,0,12.187691,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 -50 -5 -49 -4 -54 6 -52 1 -50 0 -46 3 -48 1 -43 5 -52 1 -51 12 -54 12 -55 11 -53 12 -52 11 -50 20 -57 7 -45 9 -38 11 -40 11 -47 13 -43 12 -48 10 -40 9 -43 17 -51 10 -45 0 0 6 -48 11 -55 10 -54 3 -47 7 -39 4 -50 5 -53 -1 -41 2 -48 -8 -45 -2 -49 -5 -44 -5 -47 -5 -47 -7 -50 -9 -52 -9 -51 -13 -44 -11 -49 -14 -45 -12 -52 -14 -50 -14 -49 -21 -45 -12 -48 -13 -47 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-60,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11744261,0,84,0,0,12.231836,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -13 8 -13 9 -13 11 -13 10 -12 9 -11 9 -11 10 -11 11 -11 10 -11 11 -11 11 -11 11 -10 11 -10 11 -10 12 -10 11 -9 10 -8 11 -9 10 -9 11 -9 11 -8 10 -8 9 -9 11 -9 10 -9 0 0 10 -9 9 -9 9 -10 9 -10 9 -9 9 -10 9 -9 8 -10 8 -10 7 -10 7 -11 8 -11 8 -11 7 -12 7 -11 7 -12 7 -12 6 -12 7 -12 6 -12 7 -13 7 -13 7 -13 6 -13 7 -13 6 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-60,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11745253,0,84,0,0,12.272718,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 0 16 1 18 2 17 2 18 3 15 4 16 4 16 4 16 5 16 5 16 6 16 6 15 6 15 7 14 6 16 7 14 6 14 7 13 7 13 6 13 7 14 7 13 6 13 6 14 7 13 5 0 0 14 5 14 5 14 5 13 4 13 5 14 4 14 4 14 3 14 3 14 2 14 2 14 3 14 2 15 1 15 2 15 1 15 2 14 1 15 0 15 0 15 0 15 1 16 0 16 0 16 1 15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-60,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11745444,0,84,0,0,12.308481,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 -13 -12 -13 -11 -14 -9 -16 -12 -18 -10 -15 -9 -15 -10 -14 -8 -16 -7 -16 -7 -16 -8 -16 -7 -16 -7 -17 -6 -16 -7 -17 -6 -15 -6 -16 -6 -15 -6 -15 -6 -15 -6 -15 -5 -15 -6 -15 -6 -16 -6 -14 0 0 -6 -14 -7 -14 -7 -14 -8 -13 -6 -13 -8 -13 -8 -14 -8 -13 -9 -13 -9 -12 -9 -12 -8 -13 -9 -13 -9 -13 -10 -13 -10 -12 -11 -14 -10 -11 -11 -11 -11 -11 -11 -12 -11 -13 -12 -12 -12 -12 -12 -13 -11 -12 0 0 0 0 0 0 0 0 0 0 ]
